name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,shot_key
Giannis Antetokounmpo,Milwaukee Bucks,10/29/17,2017,3032977,1610612749,400974836,1,5,0,1,Driving Layup Shot,2PT Field Goal,3,Atlanta Hawks,-9,33,400974836150
Kyle Lowry,Toronto Raptors,10/27/17,2017,3012,1610612761,400974827,3,9,52,0,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-11,16,4009748273952
Giannis Antetokounmpo,Milwaukee Bucks,10/29/17,2017,3032977,1610612749,400974836,3,3,54,1,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,-2,16,4009748363354
LeBron James,Cleveland Cavaliers,1/20/18,2017,1966,1610612739,400975420,1,4,0,1,Driving Layup Shot,2PT Field Goal,1,Oklahoma City Thunder,-6,11,400975420140
LeBron James,Cleveland Cavaliers,10/29/17,2017,1966,1610612739,400974841,1,1,11,1,Driving Layup Shot,2PT Field Goal,6,New York Knicks,-1,65,4009748411111
James Harden,Houston Rockets,2/25/18,2017,3992,1610612745,400975642,2,6,21,1,Driving Layup Shot,2PT Field Goal,2,Denver Nuggets,-9,26,4009756422621
LeBron James,Cleveland Cavaliers,10/29/17,2017,1966,1610612739,400974841,4,8,20,1,Driving Layup Shot,2PT Field Goal,1,New York Knicks,-10,3,4009748414820
Giannis Antetokounmpo,Milwaukee Bucks,2/25/18,2017,3032977,1610612749,400975639,2,4,16,1,Driving Layup Shot,2PT Field Goal,1,New Orleans Pelicans,8,11,4009756392416
LeBron James,Cleveland Cavaliers,10/29/17,2017,1966,1610612739,400974841,2,9,43,1,Driving Layup Shot,2PT Field Goal,1,New York Knicks,5,18,4009748412943
Draymond Green,Golden State Warriors,4/7/18,2017,6589,1610612744,400975941,2,8,51,1,Driving Layup Shot,2PT Field Goal,2,New Orleans Pelicans,-9,25,4009759412851
James Harden,Houston Rockets,12/3/17,2017,3992,1610612745,400975089,3,6,2,1,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,8,13,400975089362
Stephen Curry,Golden State Warriors,2/2/18,2017,3975,1610612744,400975520,2,0,12,1,Driving Layup Shot,2PT Field Goal,1,Sacramento Kings,13,15,4009755202012
Giannis Antetokounmpo,Milwaukee Bucks,2/23/18,2017,3032977,1610612749,400975622,4,5,33,0,Driving Layup Shot,2PT Field Goal,3,Toronto Raptors,-25,25,4009756224533
DeMarcus Cousins,New Orleans Pelicans,10/26/17,2017,4258,1610612740,400974820,1,0,46,0,Driving Layup Shot,2PT Field Goal,3,Sacramento Kings,16,27,4009748201046
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,1,1,55,1,Driving Layup Shot,2PT Field Goal,0,Toronto Raptors,-3,8,4009749531155
LaMarcus Aldridge,San Antonio Spurs,2/10/18,2017,2983,1610612759,400975577,1,2,27,1,Driving Layup Shot,2PT Field Goal,8,Golden State Warriors,6,80,4009755771227
Kyle Lowry,Toronto Raptors,11/14/17,2017,3012,1610612761,400974953,4,9,53,0,Driving Layup Shot,2PT Field Goal,4,Houston Rockets,31,27,4009749534953
Goran Dragic,Miami Heat,4/6/18,2017,3423,1610612748,400975932,2,0,55,1,Driving Layup Shot,2PT Field Goal,1,New York Knicks,-9,10,4009759322055
DeMar DeRozan,Toronto Raptors,11/12/17,2017,3978,1610612761,400974939,1,5,37,0,Driving Layup Shot,2PT Field Goal,5,Boston Celtics,39,38,4009749391537
Pau Gasol,San Antonio Spurs,1/19/18,2017,996,1610612759,400975413,2,6,57,1,Driving Layup Shot,2PT Field Goal,0,Toronto Raptors,-7,7,4009754132657
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,2,1,27,1,Driving Layup Shot,2PT Field Goal,0,Toronto Raptors,-5,-3,4009749532127
James Harden,Houston Rockets,3/30/18,2017,3992,1610612745,400975878,4,5,48,0,Driving Layup Shot,2PT Field Goal,0,Phoenix Suns,0,-3,4009758784548
Goran Dragic,Miami Heat,12/29/17,2017,3423,1610612748,400975269,1,1,48,0,Driving Layup Shot,2PT Field Goal,3,Brooklyn Nets,-35,15,4009752691148
James Harden,Houston Rockets,12/31/17,2017,0,1610612745,0,3,5,56,1,Driving Layup Shot,2PT Field Goal,0,Los Angeles Lakers,1,-1,03556
Kyle Lowry,Toronto Raptors,11/14/17,2017,3012,1610612761,400974953,1,8,13,1,Driving Layup Shot,2PT Field Goal,1,Houston Rockets,-6,8,4009749531813
DeMarcus Cousins,New Orleans Pelicans,12/23/17,2017,4258,1610612740,400975237,4,9,32,1,Driving Layup Shot,2PT Field Goal,2,Miami Heat,-15,15,4009752374932
Goran Dragic,Miami Heat,11/12/17,2017,3423,1610612748,400974940,1,3,32,0,Driving Layup Shot,2PT Field Goal,0,Detroit Pistons,-8,-1,4009749401332
Giannis Antetokounmpo,Milwaukee Bucks,2/2/18,2017,3032977,1610612749,400975517,1,11,24,0,Driving Layup Shot,2PT Field Goal,1,New York Knicks,3,10,40097551711124
LaMarcus Aldridge,San Antonio Spurs,4/4/18,2017,2983,1610612759,400975920,3,0,44,0,Driving Layup Shot,2PT Field Goal,1,Los Angeles Lakers,-17,6,4009759203044
Carmelo Anthony,Oklahoma City Thunder,2/2/18,2017,1975,1610612760,400975518,2,3,4,0,Driving Layup Shot,2PT Field Goal,0,New Orleans Pelicans,0,-1,400975518234
LeBron James,Cleveland Cavaliers,11/5/17,2017,1966,1610612739,400974887,3,8,31,1,Driving Layup Shot,2PT Field Goal,1,Atlanta Hawks,10,10,4009748873831
Kentavious CaldwellPope,Los Angeles Lakers,2/2/18,2017,2581018,1610612747,400975514,1,2,27,0,Driving Layup Shot,2PT Field Goal,2,Brooklyn Nets,-20,5,4009755141227
LeBron James,Cleveland Cavaliers,4/5/18,2017,1966,1610612739,400975922,2,4,7,0,Driving Layup Shot,2PT Field Goal,1,Washington Wizards,-1,10,400975922247
DeMar DeRozan,Toronto Raptors,4/6/18,2017,3978,1610612761,400975933,1,2,53,0,Driving Layup Shot,2PT Field Goal,7,Indiana Pacers,79,12,4009759331253
James Harden,Houston Rockets,11/14/17,2017,3992,1610612745,400974953,2,1,46,0,Driving Layup Shot,2PT Field Goal,1,Toronto Raptors,-11,6,4009749532146
Marc Gasol,Memphis Grizzlies,10/26/17,2017,3206,1610612763,400974817,1,4,48,1,Driving Layup Shot,2PT Field Goal,0,Dallas Mavericks,1,6,4009748171448
